Continent,Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
Asia,Afghanistan,Parliamentary,2018,0.4523,4000000,8843151,0.2181,18340292,34940837,0,No
Asia,Afghanistan,Parliamentary,2010,0.3514,4216594,12000000,0.2971,14191908,29120727,0.0442,No
Asia,Afghanistan,Parliamentary,2005,0.4937,6406615,12977336,0.5171,12389532,26334702,0.051,No
Asia,Afghanistan,Presidential,2019,0.19,1824401,9600000,0.0963,18938369,35780458,0,No
Asia,Afghanistan,Presidential,2014,0.389,8109493,20845988,0.5003,16208255,31822848,0.0168,No
Asia,Afghanistan,Presidential,2009,0.388,4823090,12430644,0.3506,13757508,28483631,0.0467,No
Asia,Afghanistan,Presidential,2004,0.8366,8128940,9716413,0.6754,12035602,25697635,0.0128,No
Europe,Albania,Parliamentary,2021,0.4632,1662274,3588869,0.6835,2432013,3088385,0.0499,No
Europe,Albania,Parliamentary,2017,0.4676,1614479,3452324,0.685,2356975,3047987,0.0197,No
Europe,Albania,Parliamentary,2013,0.5331,1744261,3271885,0.7668,2274815,3011405,0.0184,No
Europe,Albania,Parliamentary,2009,0.5077,1566079,3084946,0.6911,2266221,3194417,0.0299,No
Europe,Albania,Parliamentary,2005,0.4873,1389320,2850821,0.5896,2356387,3563112,0.0158,No
Europe,Albania,Parliamentary,2001,0.5495,1373210,2499238,0.673,2040574,3490435,0.036,No
Africa,Algeria,Parliamentary,2021,0.2303,5625324,24425187,0.1953,28808723,43576691,0.1818,No
Africa,Algeria,Parliamentary,2017,0.3709,8624199,23251503,0.3165,27248442,40969443,0.2446,No
Africa,Algeria,Parliamentary,2012,0.4314,9339026,21645841,0.387,24130650,35406303,0,No
Africa,Algeria,Parliamentary,2007,0.3551,6662383,18760400,0.3202,20806940,33333216,0.144,No
Africa,Algeria,Parliamentary,2002,0.4617,8288536,17951127,0.4508,18386639,31736053,0.105,No
Africa,Algeria,Presidential,2019,0.3988,9759392,24474161,0.3486,27992084,42325923,0.1286,No
Africa,Algeria,Presidential,2014,0.4942,11307478,22880678,0.4357,25951372,38813722,0,No
Africa,Algeria,Presidential,2009,0.7456,15356024,20595683,0.6586,23315450,34178188,0.0602,No
Africa,Algeria,Presidential,2004,0.5807,10508777,18097225,0.536,19605085,32818500,0.031,No
Europe,Andorra,Parliamentary,2019,0.6833,18638,27278,0.2619,71161,85684,0.0459,No
Europe,Andorra,Parliamentary,2015,0.6562,16084,24512,0.2297,70017,85458,0.0817,No
Europe,Andorra,Parliamentary,2011,0.7412,16197,21852,0.2338,69267,84825,0.0424,No
Europe,Andorra,Parliamentary,2009,0.7534,15293,20298,0.2598,58867,83888,0.0089,No
Europe,Andorra,Parliamentary,2005,0.8038,12879,16022,0.2102,61268,71201,0.009,No
Europe,Andorra,Parliamentary,2001,0.8164,10892,13342,0.1594,68338,67627,0.057,No
Africa,Angola,Parliamentary,2022,0.4482,6454109,14399391,0.4049,15939218,34795287,0.0282,No
Africa,Angola,Parliamentary,2017,0.7613,7093002,9317294,0.5307,13366186,29310273,0.0388,No
Africa,Angola,Parliamentary,2012,0.6277,6124669,9757671,0.7159,8554966,18056072,0.0602,No
Africa,Angola,Parliamentary,2008,0.8736,7213281,8256854,0.9242,7804962,16102061,0.1058,No
North America,Anguilla,Parliamentary,2020,0.6102,7293,11951,0.5434,13422,18090,0.051,No
North America,Anguilla,Parliamentary,2015,0.7324,7989,10908,0.6703,11918,16418,0,No
North America,Anguilla,Parliamentary,2010,0.8207,7102,8654,0.7476,9500,14766,0.0055,No
North America,Anguilla,Parliamentary,2005,0.7449,5630,7558,0.6196,9086,13116,0.011,No
North America,Anguilla,Parliamentary,2000,0.6416,4825,7520,0.5656,8531,12132,0.01,No
North America,Antigua and Barbuda,Parliamentary,2014,0.9027,43077,47721,0.6996,61571,91295,0,No
North America,Antigua and Barbuda,Parliamentary,2009,0.8027,41886,52183,0.8959,46754,85632,0.005,No
North America,Antigua and Barbuda,Parliamentary,2004,0.9119,39627,43456,0.7634,51911,67897,0.005,No
South America,Argentina,Parliamentary,2021,0.7151,24842572,34742150,0.7257,34230537,45864941,0.0499,Yes
South America,Argentina,Parliamentary,2019,0.8094,27698054,34218538,0.8282,33442549,45089492,0.0677,Yes
South America,Argentina,Parliamentary,2017,0.7674,25413205,33116077,0.7769,32713088,44293293,0.0413,Yes
South America,Argentina,Parliamentary,2015,0.8107,26048446,32130853,0.8141,31996332,43431886,0.0332,Yes
South America,Argentina,Parliamentary,2013,0.7717,23641116,30635464,0.7808,30276314,42610981,0.0445,Yes
South America,Argentina,Parliamentary,2011,0.7939,22956385,28916183,0.7735,29678579,41769726,0.0448,Yes
South America,Argentina,Parliamentary,2009,0.7239,20123715,27797930,0.7089,28389141,40913584,0.0492,Yes
South America,Argentina,Parliamentary,2007,0.7313,19086667,26098546,0.7088,26926602,40301927,0.094,Yes
South America,Argentina,Parliamentary,2005,0.7094,18513717,26098546,0.7073,26175246,39537943,0.083,Yes
South America,Argentina,Parliamentary,2001,0.7521,18602837,24735483,0.7299,25487913,37694169,0.21,Yes
South America,Argentina,Presidential,2019,0.8131,27530855,33858733,0.7953,33442549,45089492,0.0252,Yes
South America,Argentina,Presidential,2015,0.8077,25952906,32130853,0.8111,31996332,43431886,0.0246,Yes
South America,Argentina,Presidential,2011,0.7939,22956385,28916183,0.7735,29678579,41769726,0.0448,Yes
South America,Argentina,Presidential,2007,0.7181,19452594,27090236,0.7224,26926602,40301927,0.061,Yes
South America,Argentina,Presidential,2003,0.769,19594199,25479486,0.7693,25471223,37812817,0.018,Yes
Asia,Armenia,Parliamentary,2021,0.4939,1281997,2595512,0.5443,2355287,3011609,0.0036,No
Asia,Armenia,Parliamentary,2018,0.4863,1261105,2593140,0.5338,2362422,3038217,0.0037,No
Asia,Armenia,Parliamentary,2017,0.6093,1577323,2588590,0.6673,2363767,3045191,0.0042,No
Asia,Armenia,Parliamentary,2012,0.6287,1572858,2501597,0.6967,2257586,2970495,0.0342,No
Asia,Armenia,Parliamentary,2007,0.5999,1391540,2319722,0.6515,2136013,2976372,0.027,No
Asia,Armenia,Parliamentary,2003,0.5518,1232627,2233757,0.6065,2032289,3339099,0.028,No
Asia,Armenia,Presidential,2013,0.6018,1521703,2528773,0.7421,2050655,3064267,0.0335,No
Asia,Armenia,Presidential,2008,0.6981,1668464,2390000,0.7719,2161558,3229900,0.0215,No
Asia,Armenia,Presidential,2003,0.6843,1595438,2331507,0.785,2032289,3339099,0.0199,No
South America,Aruba,Parliamentary,2021,0.8466,59500,70283,0.6214,95747,120917,0.015,No
